name,image,actual_price
"Nescafe Classic Coffee Jar, 200 g with Free Red Mug and Scoop Spoon",images\71ehfHfPCzL._AC_UL320_.jpg,640
BLUE TEA - Chamomile Flower Tea | Pure Whole Flower Buds of Chamomile || SLEEP TEA & STRESS RELIEF || Herbal Tea - Caffein...,images\71qVgLGta9L._AC_UL320_.jpg,399
"Organic Tattva, Organic Wheat Dalia / Daliya, 500g",images\71a5llM7MBL._AC_UL320_.jpg,55
Godrej aer Matic Kit (Machine + 1 Refill) - Automatic Room Fresheners with Flexi Control Spray | Violet Valley Bloom | 220...,images\6121tV2hW9L._AC_UL320_.jpg,569.01
"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black)",images\71-2fEBGZDL._AC_UL320_.jpg,480
Happilo 100% Natural Premium 200g Whole Cashews | Whole Crunchy Cashew | Premium Kaju nuts | Nutritious & Delicious | Glut...,images\71tYPz++3+L._AC_UL320_.jpg,335
beatXP Kitchen Scale Multipurpose Portable Electronic Digital Weighing Scale | Weight Machine With Back light LCD Display...,images\61Is7sICRJL._AC_UL320_.jpg,1999
"Dettol Antiseptic Liquid for First Aid , Surface Disinfection and Personal Hygiene , 1000ml",images\51fFgtFBshL._AC_UL320_.jpg,364
"Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, ...",images\815GcGXjjFL._AC_UL320_.jpg,165
"Good knight Gold Flash, Mosquito Repellent Refill | 45ml each (Pack of 4)",images\71LtQCvMu4L._AC_UL320_.jpg,316
"Bajaj DX-6 1000W Dry Iron with Advance Soleplate and Anti-bacterial German Coating Technology, White",images\61qgKaW71mL._AC_UL320_.jpg,1400
"Maggi 2-Minute Masala Instant Noodles, 420 grams Pouch",images\71duk+o9d1L._AC_UL320_.jpg,82
